entry,weight,info,ref_dis,pers,form,bin
使他一门心思把自己的前途和清华 、北大紧连一起,5,new,10,0,ba,light
"高中毕业体检表上的""色盲""二 字把他打得晕头转向",1,old,1,10,ba,light
他把自己关在小屋里,2,old,10,10,ba,light
我就自己想办法拿个铁片把锁撬开,1,old,0.5,0,ba,light
商品经济把金钱这个活生生的东西，一下抛在人们的面前,10,old,1,0,ba,heavy
把他送入监狱的是一张支票,1,old,1,1,ba,light
我忽然想把他的这番话告诉他的父母,5,old,2,0,ba,light
丹增把'毛主席'三个字都镶入了深情的藏文颂词中,6,old,1,0,ba,medium
振学老汉把两个镶有大红喜字的镜框指点给记者,11,new,10,1,ba,heavy
把洞房挤小了,2,new,10,1,ba,light
快把鲜花给妈妈呀,2,old,0.5,0,ba,light
不懂事的孩子反而把另一条腿迈出了窗台,4,old,1,0,ba,light
一阵风把单元门撞上,3,new,10,0,ba,light
随即把自行车和坐在后衣架上的孩子往妻子身上一推,13,new,10,0,ba,heavy
就想着把孩子接住,2,old,0.5,1,ba,light
党和政府实实在在把各民族都当成祖国大家庭的成员,3,new,10,0,ba,light
把大娘放在车上,2,old,1,0,ba,light
把事情的经过说了一遍,5,old,10,0,ba,light
医院已把他老伴接来相会,3,old,2,1,ba,light
医院就派车把老太太接来＂约会＂,3,old,2,0,ba,light
集中在堤上的100多名基层干都把嗓子都喊哑了,2,new,10,0,ba,light
一个胖胖的妇女把他拉起来,1,old,1,0,ba,light
共产党把所有的办法都想尽了,5,new,10,0,ba,light
现在唯一的办法就是把产妇抬到楼顶平台上,2,old,3,0,ba,light
在眼皮底下把市场丢掉了８０%,2,new,10,0,ba,light
医治＂仓梗阻＂要把大环境、企业内因外因放在一起,9,new,10,0,ba,medium
把老百姓手里的钱回收到银行里,7,new,10,0,ba,medium
他把韩村的代表请上表彰大会的主席台,5,new,10,0,ba,light
看到人们引来的黄河水把洼地淤高了,2,new,10,0,ba,light
要求党组织把我运回兰考,1,old,1,0,ba,light
死了也要看着你们把沙丘治好,2,old,1,0,ba,light
我要把有限的生命，投入到无限的为人民服务之中去,5,old,1,0,ba,light
还把他钉在了最苦最累的五线造型的第一道工位,1,old,3,8,ba,light
每天要用气吊把１５０公斤重的砂箱推上３００多次,7,new,10,0,ba,medium
后来干脆把行李卷搬到厂里,3,new,10,0,ba,light
可到了关键时刻就把我忘了,1,old,2,1,ba,light
把一个小桶吊上去,4,new,10,0,ba,light
用扫帚小心地把积灰扫到桶里,2,new,10,0,ba,light
我不能把重活推给别人,2,new,10,0,ba,light
李放把这事放在了心上,2,old,10,0,ba,light
一定要把西延线铁路尽快建成,5,new,10,0,ba,light
把＂延安热＂推向高潮,3,new,10,0,ba,light
乡村干部冒着齐胸深的洪水把我救出来,1,old,0.5,3,ba,light
千余名口干唇燥的旅客把渴望的目光投向站台,5,new,10,0,ba,light
所以车子未到就把茶缸水壶准备好了,4,new,10,0,ba,light
他把它擦得锃亮,1,old,0.5,0,ba,light
河南省顾委副主任张赤侠代表省委、省政府把一个素洁的花环置放在山头的纪念亭前,7,new,10,0,ba,medium
还把我俩的寿木板子，我的私房钱都用到了桥上、路上,12,new,10,0,ba,heavy
我们把她接回学校,1,old,1,10,ba,light
争先恐后地把学习用品、小玩具等生日礼物递到她的手上,12,new,10,0,ba,heavy
连拉带拽把老王＂抢＂进家门,2,old,1,0,ba,light
又把秧床制作、稻种处理等操作方法讲解了几遍,13,new,10,0,ba,heavy
他们把记者的证件输入电脑,5,new,10,0,ba,light
看见三四十名捡破烂儿的男女把一台卸垃圾汽车围个水泄不通,7,new,10,1,ba,medium
司机连鸣喇叭带吆喝才勉强把车开走,1,old,0.5,1,ba,light
我把今天的事登在报纸上,4,old,10,1,ba,light
便请工作人员到会场去把在场的人员按单位、姓名逐一进行了登记,5,old,10,1,ba,light
把一只精制的花圈置放在墓碑前,7,new,10,0,ba,medium
并用手把被风吹起的挽联扶正,7,new,10,0.5,ba,medium
除了把工作做好,2,new,10,0,ba,light
还要把你们的妈妈照顾好,5,old,4,0,ba,light
焦守云转身把已经上小学的儿子拉到乔石跟前,8,new,10,1,ba,medium
把自己的孩子放到二连当兵,5,new,10,2,ba,light
本来战士的家长是想把子弟放到二连锻炼成长,2,old,5,2,ba,light
竟把一个新兵打了一顿,4,new,10,0,ba,light
不把连长放在眼里,2,old,1,2,ba,light
小郭愿意把心里话对连长倾述了,3,new,10,0,ba,light
不能把党内的批评和自我批评作风变成吹捧和自我吹捧,12,old,0.5,0,ba,heavy
首先得把农业抓上去,2,old,1,2,ba,light
要他把摔坏的洗衣机打包托运到贵阳,6,old,2,0,ba,medium
就必须把＂用户第一，信誉至上＂的经营宗旨落到实处,13,new,10,1,ba,heavy
鞍钢领导把建设８０万吨冷连轧机组的意义和困难向职工们合盘托出,16,new,10,1,ba,heavy
只需把手头紧一紧,2,new,10,0,ba,light
马球的故乡西藏却逐渐把它遗忘了,1,old,0.5,1,ba,light
把水平提高上去,2,new,10,0,ba,light
尽早把世界冠军夺回来,4,new,10,0,ba,light
当年毛主席把体育运动当成是增强人民体质的一件大事。,4,old,0.5,0,ba,light
黑河海关现场员姜伦把一份统计表交给了记者,5,new,10,0,ba,light
为什么不把订阅的报刊从桌面、柜橱，报架上搬到人行道两侧,5,old,10,0,ba,light
